order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,grad_variance,test_loss,test_accuracy,epoch_time_sec
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,1,0.6390252181529998,0.77025,3.3537845611572266,1.5393515825271606,0.3657666742801666,0.3618147075176239,13.59760331872743,0.4595576976299286,0.8336,9.483074188232422
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,2,0.3766477378845215,0.86445,2.103816032409668,0.6224575042724609,0.2630777657032013,0.36041152477264404,4.809290068457347,0.39485647573471067,0.8545,9.636518001556396
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,3,0.32040994527339933,0.88385,1.879818081855774,0.599010705947876,0.27167782187461853,0.3509647846221924,3.890239291120685,0.3776993736743927,0.8678,9.53454852104187
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,4,0.28644781289100646,0.8968,1.8076653480529785,0.5944774746894836,0.2906607985496521,0.36083343625068665,3.6192447910072247,0.31766489715576174,0.8837,9.52809739112854
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,5,0.24737145369052888,0.9087,1.5642098188400269,0.44409143924713135,0.1390659511089325,0.39057624340057373,2.642455570883691,0.32387464146614076,0.8778,9.67220687866211
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,6,0.22842756872177125,0.9154,1.6138559579849243,0.5904586315155029,0.2508675456047058,0.3653833866119385,2.9518596849203003,0.29229322118759155,0.8939,9.494051694869995
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,7,0.20397540926933289,0.92485,1.4584267139434814,0.5162723064422607,0.2470315545797348,0.35026633739471436,2.39222740994863,0.3003383274078369,0.8899,9.53691554069519
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,8,0.18775612034797667,0.93105,1.436827301979065,0.4877573847770691,0.30296391248703003,0.3151732087135315,2.300662579739658,0.2889596498966217,0.8982,9.618736505508423
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,9,0.1649321668624878,0.9404,1.3690530061721802,0.5427786707878113,0.21762920916080475,0.3128378689289093,2.1674717459430934,0.2846358855247498,0.8992,9.932270050048828
random,1,results_adamw_lr0p001,results_adamw_lr0p001,small_cnn,adamw,10,128,20000,0.001,0.9,0.0005,cuda,False,False,10,0.15090412981510162,0.94695,1.4195419549942017,0.5072913765907288,0.2738930583000183,0.34132030606269836,2.2708495316715713,0.3000134169101715,0.9001,10.083294868469238
