order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,batch_index,global_step,cosine_similarity
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,1,1,
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,2,2,-0.0936332419514656
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,3,3,0.0009512741235084832
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,4,4,-0.2722368538379669
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,5,5,0.2292332649230957
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,6,6,0.7938631176948547
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,7,7,0.3667953908443451
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,8,8,0.5822435617446899
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,9,9,0.749999463558197
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,10,10,0.43089860677719116
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,11,11,0.4752874970436096
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,12,12,0.5088363289833069
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,13,13,-0.4144415259361267
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,14,14,-0.006932184100151062
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,15,15,0.1825987845659256
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,16,16,-0.34679463505744934
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,17,17,0.0667058601975441
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,18,18,0.4090859591960907
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,19,19,0.18242979049682617
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,20,20,0.5949295163154602
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,21,21,0.7454491853713989
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,22,22,0.5490941405296326
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,23,23,0.18189458549022675
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,24,24,0.19624567031860352
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,25,25,0.8317176103591919
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,26,26,0.7634677886962891
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,27,27,0.6512407064437866
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,28,28,0.06362492591142654
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,29,29,0.6610303521156311
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,30,30,0.29780423641204834
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,31,31,0.08889923989772797
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,32,32,0.5583314299583435
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,33,33,0.4855140447616577
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,34,34,0.7007942199707031
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,35,35,0.4363705813884735
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,36,36,0.4111124277114868
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,37,37,-0.05712326616048813
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,38,38,0.7093086838722229
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,39,39,0.5247070789337158
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,40,40,0.35897305607795715
random,0,results_adamw_lr0p01,results_adamw_lr0p01,small_cnn,adamw,10,128,20000,0.01,0.9,0.0005,cuda,False,False,1,41,41,0.05193930119276047
