order_mode,seed,model,optimizer,epochs,batch_size,learning_rate,momentum,weight_decay,device,deterministic,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,test_loss,test_accuracy,epoch_time_sec
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,1,2.3094507099151613,0.10495,3.269948720932007,2.330451488494873,2.29287578125,0.1,17.49848699569702
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,2,2.3387252464294432,0.0593,1.8987981081008911,0.9875094294548035,2.2641760330200196,0.2879,23.125802993774414
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,3,2.270110203933716,0.1452,3.112924814224243,1.0816594362258911,2.272593124008179,0.1,23.372448682785034
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,4,2.0511688398838044,0.23435,4.183730125427246,2.3112494945526123,2.115152251815796,0.1491,23.894670963287354
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,5,1.9420655700683593,0.30815,5.153924942016602,2.806957721710205,1.9242504486083984,0.3157,23.137320041656494
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,6,1.6392183966159821,0.48765,5.55997896194458,2.580599546432495,2.4731214992523194,0.2267,21.63714599609375
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,7,1.5705082707762719,0.43555,5.028980255126953,2.952709436416626,1.9590245454788209,0.2596,13.912105560302734
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,8,1.572239860725403,0.45415,5.204708576202393,2.5540640354156494,1.6447647365570068,0.3876,8.94168996810913
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,9,1.5367097113609314,0.38155,4.392755031585693,1.5634692907333374,1.5014206554412841,0.4722,9.482101202011108
label_block_random,2,small_cnn,sgd,10,128,0.001,0.9,0.0005,cpu,False,10,1.3664613958120346,0.4882,4.774867534637451,2.6183557510375977,1.5549111694335938,0.3336,11.062870502471924
