order_mode,seed,model,optimizer,epochs,batch_size,learning_rate,momentum,weight_decay,device,deterministic,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,test_loss,test_accuracy,epoch_time_sec
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,1,,0.572,,,,0.1,12.320350408554077
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,2,,0.1,,,,0.1,9.67592167854309
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,3,,0.1,,,,0.1,9.873525619506836
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,4,,0.1,,,,0.1,9.855413436889648
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,5,,0.1,,,,0.1,9.919709205627441
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,6,,0.1,,,,0.1,9.93465781211853
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,7,,0.1,,,,0.1,9.878689289093018
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,8,,0.1,,,,0.1,10.01081919670105
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,9,,0.1,,,,0.1,10.041205167770386
label_sorted,1,small_cnn,sgd,10,128,0.05,0.9,0.0005,cpu,False,10,,0.1,,,,0.1,10.160848379135132
