output_dir,experiment_name,order_mode,learning_rate,epochs,max_train_examples,optimizer,model,batch_size,momentum,weight_decay,epoch,seed,seed_count,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,grad_norm_mean_mean,grad_norm_mean_std,grad_norm_std_mean,grad_norm_std_std,epoch_time_sec_mean,epoch_time_sec_std
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,1,"0,1,2",3,2368030947077677.0,,0.5773333333333334,0.09421590010891655,3.640359464645386,,0.10000000000000002,0.0,17778824183808.0,,222057442836480.0,,12.615508238474527,0.35556190249183
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,2,"0,1,2",3,3.305521542835236,,0.07866666666666668,0.03695041722813606,3.4059919105529786,,0.10000000000000002,0.0,1.1560159921646118,,0.1934179961681366,,11.40469241142273,0.44002042993177637
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,3,"0,1,2",3,3.2591455209732056,,0.0824,0.030484094213212243,3.5455842796325685,,0.10000000000000002,0.0,1.1501920223236084,,0.1963520050048828,,11.360833565394083,0.6697223757870888
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,4,"0,1,2",3,3.288440993976593,,0.07813333333333333,0.03787417765883945,3.456866349029541,,0.10000000000000002,0.0,1.1536959409713743,,0.1958038061857223,,11.546040852864584,0.5314923127146937
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,5,"0,1,2",3,3.2658900353431704,,0.0808,0.033255375505322454,3.53532244682312,,0.10000000000000002,0.0,1.150653600692749,,0.196728304028511,,11.310245513916016,0.5919949872259841
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,6,"0,1,2",3,3.142625684642792,,0.0872,0.02217025033688163,3.427637685394287,,0.10000000000000002,0.0,1.1334047317504885,,0.2185262888669967,,11.537879784901937,0.7265813027852913
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,7,"0,1,2",3,3.102802698469162,,0.11013333333333335,0.017551448183364612,3.579127705383301,,0.10000000000000002,0.0,1.0661038160324097,,0.3658004403114319,,11.457840204238892,0.7124911464123909
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,8,"0,1,2",3,3.264725824546814,,0.08453333333333334,0.02678905249039864,3.616471844863892,,0.10000000000000002,0.0,1.1503138542175293,,0.1988264620304107,,11.498809496561686,0.8140095812236622
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,9,"0,1,2",3,3.158276914024353,,0.08453333333333334,0.02678905249039864,3.4052151527404786,,0.10000000000000002,0.0,1.138277530670166,,0.2108011841773986,,11.353278398513794,0.5367704934866734
results_lr005,results_lr005,label_block_random,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,10,"0,1,2",3,3.2630405663490296,,0.0824,0.030484094213212243,3.454261130142212,,0.10000000000000002,0.0,1.1505095958709717,,0.1986575722694397,,11.302661259969076,0.6027995640285826
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,1,"0,1,2",3,,,0.5439666666666666,0.05281108627299127,,,0.10000000000000002,0.0,,,,,11.465471108754477,0.8112223742291914
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,2,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,9.600350697835287,0.48926229832220525
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,3,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,10.344988028208414,0.45621602701969644
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,4,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,10.30525771776835,0.39679227117894167
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,5,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,10.376473665237427,0.976587832232406
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,6,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,9.961262464523315,0.5061318244059664
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,7,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,9.825519561767578,0.5906999137997887
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,8,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,10.052013397216797,0.6903784778359668
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,9,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,10.12088974316915,0.6976752333268629
results_lr005,results_lr005,label_sorted,0.05,10,20000,sgd,small_cnn,128,0.9,0.0005,10,"0,1,2",3,,,0.10000000000000002,0.0,,,0.10000000000000002,0.0,,,,,10.298769474029541,0.9491078851380413
