order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,test_loss,test_accuracy,epoch_time_sec
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,1,0.6781075220108033,0.75745,1.2141085863113403,0.8301577568054199,0.23841309547424316,0.2392362654209137,0.3891554402828217,0.8557,14.952558994293213
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,2,0.3455070485115051,0.8725,0.8205942511558533,0.19714511930942535,0.15939824283123016,0.24846310913562775,0.3530510953426361,0.8682,15.805952310562134
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,3,0.29011401975154877,0.89015,0.7851477861404419,0.18651796877384186,0.14741036295890808,0.2238142043352127,0.36487459516525267,0.8611,15.888663291931152
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,4,0.2618182291984558,0.90205,0.8013156652450562,0.20385298132896423,0.1615309864282608,0.21023274958133698,0.3758637877702713,0.865,14.7683687210083
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,5,0.23243234397172927,0.91435,0.7997812032699585,0.19516028463840485,0.16144703328609467,0.19428548216819763,0.36346447089910505,0.8742,14.43590497970581
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,6,0.20801882008314132,0.9235,0.823178231716156,0.2009981870651245,0.12394396960735321,0.16682365536689758,0.3984382328391075,0.8712,14.21607255935669
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,7,0.20064485943317414,0.9257,0.8359050154685974,0.22220952808856964,0.15242072939872742,0.16954439878463745,0.41222936854362485,0.8635,13.831264019012451
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,8,0.18701289131641388,0.93055,0.8380146622657776,0.23189833760261536,0.1444997638463974,0.1693783402442932,0.39182908017635343,0.8633,13.520427465438843
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,9,0.1795406314611435,0.93145,0.865100622177124,0.23027339577674866,0.17522922158241272,0.15431641042232513,0.4245952384948731,0.8625,13.771826267242432
fixed_random,1,results_v3_lr0p1,results_v3_lr0p1,small_cnn,sgd,10,128,20000,0.1,0.9,0.0005,cpu,False,False,10,0.1646643312931061,0.93765,0.8315617442131042,0.2038450688123703,0.14749640226364136,0.14358937740325928,0.4500814459323883,0.8726,13.748581171035767
