order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,grad_variance,test_loss,test_accuracy,epoch_time_sec
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,1,0.7991753668308258,0.73195,1.7230089902877808,2.2400076389312744,0.24083979427814484,0.2976844906806946,7.956677808954419,0.42960510399341584,0.8462,10.112760782241821
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,2,0.365993789768219,0.868,0.9707678556442261,0.2498616725206375,0.1973872035741806,0.2423510104417801,1.0030340186139526,0.34908519287109374,0.8698,9.298639059066772
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,3,0.3156882536172867,0.8814,0.9206117391586304,0.23226188123226166,0.26668134331703186,0.2301429808139801,0.9002383714046452,0.33876640138626096,0.8793,9.301754713058472
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,4,0.27710993661880495,0.89855,0.8938333988189697,0.2457611858844757,0.2140962928533554,0.2391350269317627,0.858124794948028,0.3169791738986969,0.8855,9.296536207199097
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,5,0.2460056421995163,0.9088,0.8659610748291016,0.23471595346927643,0.16685716807842255,0.2258441150188446,0.8038907538751999,0.32382634675502775,0.8804,9.44224214553833
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,6,0.2254795035123825,0.91575,0.8535261154174805,0.25159990787506104,0.18628080189228058,0.22263824939727783,0.7907161189760754,0.32003686587810515,0.8935,9.389738321304321
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,7,0.19944886348247529,0.9249,0.8490316867828369,0.19665032625198364,0.159213587641716,0.19387660920619965,0.7584680164168391,0.29632647240161897,0.8962,9.429126262664795
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,8,0.18261643266677857,0.9313,0.8427876234054565,0.23476409912109375,0.14732785522937775,0.20892761647701263,0.7643189531320965,0.30055829997062683,0.8962,9.376052141189575
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,9,0.16389165441989897,0.93935,0.8565393686294556,0.2377552092075348,0.149917334318161,0.1959810107946396,0.789024774486155,0.3152896680355072,0.8927,9.506531000137329
random,1,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cuda,False,True,10,0.15620105097293854,0.94145,0.8923360109329224,0.2512715458869934,0.1820530742406845,0.20684289932250977,0.8580851675311936,0.32587084813117984,0.896,9.24766492843628
