order_mode,seed,experiment_name,output_dir,model,optimizer,epochs,batch_size,max_train_examples,learning_rate,momentum,weight_decay,device,deterministic,save_embeddings,epoch,train_loss,train_accuracy,grad_norm_mean,grad_norm_std,grad_cosine_mean,grad_cosine_std,test_loss,test_accuracy,epoch_time_sec
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,1,0.6995879602909089,0.7506,1.4184017181396484,0.9746816754341125,0.27184516191482544,0.29125869274139404,0.41454460406303406,0.8491,13.932310581207275
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,2,0.36838401064872744,0.8651,0.9679237008094788,0.2323520928621292,0.22834695875644684,0.2389533519744873,0.36265452651977537,0.8691,13.836491346359253
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,3,0.31058159234523774,0.88765,0.9303730726242065,0.2556750774383545,0.21798156201839447,0.24102605879306793,0.32422739374637605,0.8846,14.07349705696106
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,4,0.26380272698402407,0.90265,0.877345085144043,0.2486337125301361,0.14085234701633453,0.24635083973407745,0.32991455948352816,0.8824,13.506887674331665
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,5,0.23521988549232484,0.91285,0.8614033460617065,0.19916579127311707,0.19230344891548157,0.21034754812717438,0.3137121215581894,0.8868,14.039982557296753
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,6,0.21091886034011842,0.9234,0.8657104969024658,0.21577595174312592,0.16996333003044128,0.23334521055221558,0.333723939704895,0.887,29.381394624710083
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,7,0.18760705015659332,0.93095,0.8545006513595581,0.21370269358158112,0.17461197078227997,0.19313417375087738,0.3363348403453827,0.8827,29.258047342300415
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,8,0.16610032486915588,0.93985,0.849702000617981,0.20962925255298615,0.16101305186748505,0.20788389444351196,0.3396797850370407,0.885,29.017045259475708
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,9,0.1563550684452057,0.94185,0.8880047798156738,0.24940350651741028,0.1771022528409958,0.17588913440704346,0.3426386254787445,0.891,28.490461111068726
random,2,results_v3_main,results_v3_main,small_cnn,sgd,10,128,20000,0.05,0.9,0.0005,cpu,False,True,10,0.13641111003160478,0.9504,0.8780733346939087,0.23895123600959778,0.17295821011066437,0.18218298256397247,0.32826956223249437,0.8872,29.45823645591736
