order_mode,epoch,class_id,class_accuracy_mean,class_accuracy_std
curriculum_easy,1,0,0.904,
curriculum_easy,1,1,0.227,
curriculum_easy,1,2,0.008,
curriculum_easy,1,3,0.0,
curriculum_easy,1,4,0.0,
curriculum_easy,1,5,0.103,
curriculum_easy,1,6,0.002,
curriculum_easy,1,7,0.0,
curriculum_easy,1,8,0.993,
curriculum_easy,1,9,0.214,
curriculum_hard,1,0,0.629,
curriculum_hard,1,1,0.982,
curriculum_hard,1,2,0.014,
curriculum_hard,1,3,0.0,
curriculum_hard,1,4,0.036,
curriculum_hard,1,5,0.0,
curriculum_hard,1,6,0.0,
curriculum_hard,1,7,1.0,
curriculum_hard,1,8,0.0,
curriculum_hard,1,9,0.059,
fixed_random,1,0,0.0,
fixed_random,1,1,0.843,
fixed_random,1,2,0.0,
fixed_random,1,3,0.3,
fixed_random,1,4,0.671,
fixed_random,1,5,0.727,
fixed_random,1,6,0.808,
fixed_random,1,7,0.967,
fixed_random,1,8,0.511,
fixed_random,1,9,0.448,
label_block_random,1,0,0.0,
label_block_random,1,1,0.0,
label_block_random,1,2,0.0,
label_block_random,1,3,0.0,
label_block_random,1,4,0.0,
label_block_random,1,5,0.0,
label_block_random,1,6,0.0,
label_block_random,1,7,0.0,
label_block_random,1,8,0.0,
label_block_random,1,9,1.0,
label_sorted,1,0,0.0,
label_sorted,1,1,0.0,
label_sorted,1,2,0.0,
label_sorted,1,3,1.0,
label_sorted,1,4,0.0,
label_sorted,1,5,0.0,
label_sorted,1,6,0.0,
label_sorted,1,7,0.0,
label_sorted,1,8,0.0,
label_sorted,1,9,0.0,
random,1,0,0.902,
random,1,1,0.917,
random,1,2,0.335,
random,1,3,0.148,
random,1,4,0.0,
random,1,5,0.858,
random,1,6,0.0,
random,1,7,0.0,
random,1,8,0.97,
random,1,9,0.815,
