order_mode,global_step,cosine_similarity_mean,cosine_similarity_std
curriculum_easy,2,0.5777395367622375,
curriculum_easy,3,0.4576450288295746,
curriculum_easy,4,0.4375926554203033,
curriculum_easy,5,0.818477213382721,
curriculum_easy,6,0.713422417640686,
curriculum_easy,7,0.5691686868667603,
curriculum_easy,8,0.7448435425758362,
curriculum_easy,9,0.447280615568161,
curriculum_easy,10,0.4903685450553894,
curriculum_easy,11,0.4523552656173706,
curriculum_easy,12,0.0853084772825241,
curriculum_easy,13,0.1006689593195915,
curriculum_easy,14,-0.2967500388622284,
curriculum_easy,15,0.2349514663219452,
curriculum_easy,16,0.6943308711051941,
curriculum_hard,2,0.6354678869247437,
curriculum_hard,3,0.7221723794937134,
curriculum_hard,4,0.449772298336029,
curriculum_hard,5,0.4638144969940185,
curriculum_hard,6,0.6352677941322327,
curriculum_hard,7,0.3987073302268982,
curriculum_hard,8,0.3594821691513061,
curriculum_hard,9,0.6450135707855225,
curriculum_hard,10,0.6174154877662659,
curriculum_hard,11,0.5818231105804443,
curriculum_hard,12,0.7306035161018372,
curriculum_hard,13,0.512468695640564,
curriculum_hard,14,0.3749421834945678,
curriculum_hard,15,0.5607395172119141,
curriculum_hard,16,-0.7724325060844421,
fixed_random,2,0.6686069965362549,
fixed_random,3,0.3770239949226379,
fixed_random,4,0.4958263039588928,
fixed_random,5,0.4307810068130493,
fixed_random,6,0.4190955460071563,
fixed_random,7,0.6017662286758423,
fixed_random,8,0.7605379223823547,
fixed_random,9,0.0949684754014015,
fixed_random,10,0.2840246260166168,
fixed_random,11,0.1096730008721351,
fixed_random,12,-0.3995292484760284,
fixed_random,13,-0.5031592845916748,
fixed_random,14,-0.4196543395519256,
fixed_random,15,-0.1543433368206024,
fixed_random,16,0.1579171121120453,
label_block_random,2,0.3994080424308777,
label_block_random,3,0.0263801217079162,
label_block_random,4,0.184026300907135,
label_block_random,5,0.0422217734158039,
label_block_random,6,0.280798077583313,
label_block_random,7,0.2602341771125793,
label_block_random,8,0.8954169750213623,
label_block_random,9,0.1673744916915893,
label_block_random,10,0.4446528553962707,
label_block_random,11,0.8306447863578796,
label_block_random,12,0.0130278123542666,
label_block_random,13,0.6637911200523376,
label_block_random,14,0.6849405169487,
label_block_random,15,0.0605167932808399,
label_block_random,16,0.9883164763450624,
label_sorted,2,0.3419893383979797,
label_sorted,3,0.1406925767660141,
label_sorted,4,0.1240783780813217,
label_sorted,5,0.4420364797115326,
label_sorted,6,0.202514186501503,
label_sorted,7,0.3218225240707397,
label_sorted,8,0.8324941396713257,
label_sorted,9,0.0417408719658851,
label_sorted,10,0.5177755355834961,
label_sorted,11,0.8168906569480896,
label_sorted,12,0.0152280069887638,
label_sorted,13,0.6887415647506714,
label_sorted,14,0.6844050288200378,
label_sorted,15,0.029671436175704,
label_sorted,16,0.994091272354126,
random,2,0.6646268963813782,
random,3,0.6072536110877991,
random,4,0.5174466371536255,
random,5,0.4995327293872833,
random,6,0.666670560836792,
random,7,0.4682726263999939,
random,8,0.4312683939933777,
random,9,0.3796777427196502,
random,10,0.347043365240097,
random,11,-0.3356516063213348,
random,12,0.3966348171234131,
random,13,-0.4775768518447876,
random,14,-0.4976221323013305,
random,15,-0.1969388574361801,
random,16,-0.0183700192719697,
